,Gene,log2FC,p-value
10759,CD200,1.2424730738584562,0.2018816155156946
4371,C1orf186,1.2407373556993595,0.24118598191525986
11643,SLITRK3,1.2386900989879945,0.36297145931882385
1949,AK5,1.2380694010010995,0.14877229192686142
2230,TMEM56,1.2294147430575053,0.11728942869519075
1264,EDN2,1.2269916806130814,0.13881391430795095
9655,CRTAP,1.22680472687399,0.001210060833989658
7757,FMNL2,1.2253447957530987,0.006974406589060148
3170,S100A6,1.2098110678747345,0.10848090378923739
10960,HEG1,1.205588405079079,0.07904453897300627
6968,CHST10,1.204710680857943,0.001110730684326954
10747,PHLDB2,1.2042427685648602,0.013809671065141329
3225,ATP8B2,1.1992761902961895,0.004265902472222472
10719,DPPA2,1.1976912280008156,0.32649028963383203
12403,STK32B,1.1866980866937369,0.09049945348096534
8775,PTPRN,1.1754062207951306,0.15346100894477224
11402,CP,1.1712462944345938,0.41030967206000235
11330,PCOLCE2,1.165356666857001,0.09946149652951738
5702,FOSL2,1.1622622437189243,0.10270081764282021
13849,ARSJ,1.1609378354086706,0.08992399241802297
714,ID3,1.1594783724369568,0.08931354361442762
7068,UXS1,1.158812794777337,0.0656993403031527
13298,CXCL1,1.1586796772970631,0.37786710753113545
10743,ZBED2,1.157838059474134,0.37675348840009626
14961,CMBL,1.1524407866404731,0.097350006821455
7304,STEAP3,1.1491560424424798,0.03561780090313282
14365,PDGFC,1.1483239563086733,0.06309142679150341
3687,GPR161,1.1401252845507464,0.0047843928643479285
2986,SV2A,1.139642081622669,0.2853378801690766
11834,GNB4,1.1304990860304431,0.024742148114369106
4834,GALNT2,1.130411021923483,0.015673843594417293
5511,MATN3,1.127469407819105,0.14582097166899857
9064,ACKR3,1.1243829059037436,0.40920828241093
2626,PTGFRN,1.1240544598191526,0.026418286954667258
8079,HOXD8,1.122887878777744,0.03272873479993338
11575,LXN,1.122629092249093,0.20008258163639264
8078,HOXD9,1.1190288983031702,0.07695796669186614
4653,CAPN2,1.117638037105194,0.028975520978372377
4057,PLA2G4A,1.112826988160513,0.1695521964908592
4669,DEGS1,1.1085683517236546,0.0007896626859838758
13935,ANXA5,1.1082799216724828,0.011775041205671289
8793,OBSL1,1.1072660199034257,0.10269352569818375
2226,CNN3,1.1050471896195875,0.1533249827701163
4213,RP11-134G8.8,1.094942128735949,0.00010925904775203496
10956,ITGB5,1.0877307974078168,0.03054087007872327
3494,VANGL2,1.0856057566747008,0.06048870177330316
14485,ANXA10,1.0798652198375187,0.4080997217493798
7746,TNFAIP6,1.0783792716896747,0.04740810377256392
15863,F2R,1.0748176023269975,0.10427886327019667
8548,KLF7,1.0661182665459359,0.040024487704027945
5693,MRPL33,1.0647348830724104,0.04270533853820019
14490,PALLD,1.060949871001665,0.23324735882155154
4439,LAMB3,1.0566307424365706,0.1955361375600595
661,HSPG2,1.0523735642231418,0.1810499752538535
8740,CYP27A1,1.049611107483657,0.3236360353517892
4442,G0S2,1.048319704413614,0.47854687174679866
5067,AKT3,1.047776030700331,0.04869735749641968
14386,RXFP1,1.0440118667354155,0.3694657440270137
8287,MYO1B,1.0428520795250367,0.14915098574749291
1979,IFI44,1.0394409977409576,0.17865565852342605
6480,EVA1A,1.0294397927854275,0.19601018455302752
11832,RP11-145M9.4,1.0272607957026698,0.021936588564503055
1847,WLS,1.0266373106492903,0.1856778286218442
3431,IFI16,1.0233431492206084,0.3855701308198342
72,AGRN,1.0219642661591175,0.10956898990137243
15861,F2RL2,1.0206132641749481,0.2603956360756217
633,SH2D5,1.0119539895215306,0.06810248369819515
3092,S100A10,1.009076087160076,0.12889466823059056
7677,ZEB2,1.0077400850887024,0.10340692253749433
4043,HMCN1,1.003661105049929,0.21097147805991495
15157,LINC01021,1.003423787778151,0.18563752539165804
12055,CLDN16,0.9998134752795581,0.4259619113138738
3177,S100A13,0.9990643730251065,0.04465102797186157
11875,SOX2,0.9980013126192528,0.12536450124347626
4206,IGFN1,0.9946869856690171,0.35428615483709397
12687,SLC34A2,0.993078036365863,0.4875163221379404
1964,NEXN,0.9909524659316366,0.13410816450759516
8886,SLC19A3,0.9878478060773729,0.21560464620818098
12047,LEPREL1,0.9862893475708263,0.39083247418413347
15182,CDH6,0.9838205791828833,0.24133742128265043
5266,PXDN,0.9805809077180325,0.4794278291404176
8854,SERPINE2,0.979427568431328,0.38249758867148675
12587,CPEB2,0.9780133749632429,0.05652444480670541
11977,RP11-443P15.2,0.976723400535852,0.18422841017049607
8617,CPS1,0.9685174209604652,0.08750389537143753
4083,BRINP3,0.9669045988883667,0.37158492176987773
13872,TRAM1L1,0.9637265523372741,0.03464291913373736
7849,CD302,0.9589937492535063,0.02796736375964061
6299,CNRIP1,0.9587700673153876,0.27102097748847326
15237,SLC45A2,0.9565579199403722,0.26407730815593816
14977,RP11-215G15.5,0.9501364582532057,0.10729492862734234
379,PLOD1,0.9478972650581889,0.08085676006070752
6327,ANXA4,0.9460546273530843,0.30822201633589835
4019,FAM129A,0.9389158992078181,0.32593837376694507
11425,PFN2,0.9374950856754607,0.01703514543733501
14720,FAT1,0.9360406982535086,0.11707854917492129
5638,KCNK3,0.9354632681938276,0.1619035152597114
14358,CTSO,0.935132687359715,0.12475085278706885
7884,FAP,0.9331002268526926,0.26835003504502997
7811,ACVR1,0.9308948512352675,0.0032255390863862
6981,NPAS2,0.929687043664849,0.0706524901335501
9250,BHLHE40,0.9279748587480201,0.10834424769779546
7085,ST6GAL2,0.9276402323633244,0.20647986506782476
5575,TP53I3,0.9239451978871318,0.18960398451700453
10847,ARHGAP31,0.9198996680626692,0.07559940263800205
13535,PKD2,0.9191807514700221,0.009495670329855004
8849,AC012512.1,0.9167444773356422,0.3700563468461012
14044,PABPC4L,0.91630563136148,0.16862964666923594
7327,TMEM185B,0.9094903881180691,0.11049573362984046
